feature,importance
prsnt_age,0.32590567302491974
accnt_status_Íàêîïèòåëüíûé ïåðèîä,0.2731230456757732
accnt_status_Âûïëàòíîé ïåðèîä,0.25871835970618134
total_sum,0.09054019788631644
transaction_count,0.03157702392332242
unique_movement_types,0.009622867058716638
gndr_æ,0.0015180601809825708
gndr_ì,0.0012366867460368019
rgn_ÊÅÌÅÐÎÂÑÊÀß ÎÁËÀÑÒÜ - ÊÓÇÁÀÑÑ,0.0008062832915741475
rgn_ÕÀÍÒÛ-ÌÀÍÑÈÉÑÊÈÉ ÀÂÒÎÍÎÌÍÛÉ ÎÊÐÓÃ - ÞÃÐÀ ÀÎ,0.0006603208870601142
rgn_ÌÎÑÊÂÀ Ã,0.0005800360439419116
rgn_ÌÎÑÊÎÂÑÊÀß ÎÁË,0.0004071327421709238
rgn_ÑÂÅÐÄËÎÂÑÊÀß ÎÁË,0.0003761689055369312
rgn_ÂÎËÃÎÃÐÀÄÑÊÀß ÎÁË,0.0002907620472295057
rgn_ßÌÀËÎ-ÍÅÍÅÖÊÈÉ ÀÎ,0.0002631227626278363
rgn_ÁÓÐßÒÈß ÐÅÑÏ,0.00025700257720489715
rgn_ÏÐÈÌÎÐÑÊÈÉ ÊÐÀÉ,0.00023919243930135638
rgn_ÊÎÌÈ ÐÅÑÏ,0.0001994540299245029
rgn_ÏÅÐÌÑÊÈÉ ÊÐÀÉ,0.00018454653902908282
rgn_ÀÐÕÀÍÃÅËÜÑÊÀß ÎÁË,0.00016348288629293325
rgn_ÊÐÀÑÍÎÄÀÐÑÊÈÉ ÊÐÀÉ,0.00014582030877990378
rgn_ÑÀÐÀÒÎÂÑÊÀß ÎÁË,0.00014413497899082488
rgn_ÎÐÅÍÁÓÐÃÑÊÀß ÎÁË,0.00014139193800784885
rgn_ÈÐÊÓÒÑÊÀß ÎÁË,0.00012809221573961533
rgn_ÐÎÑÒÎÂÑÊÀß ÎÁË,0.00012694866082826813
rgn_ÂÎËÎÃÎÄÑÊÀß ÎÁË,0.00010824384270974461
rgn_ÑÀÍÊÒ-ÏÅÒÅÐÁÓÐÃ Ã,0.00010763000261493076
rgn_ÁÀØÊÎÐÒÎÑÒÀÍ ÐÅÑÏ,0.00010109831747140276
rgn_ÍÅÍÅÖÊÈÉ ÀÎ,9.602980995640392e-05
rgn_×ÅËßÁÈÍÑÊÀß ÎÁË,9.018061634534398e-05
rgn_ÊÐÀÑÍÎßÐÑÊÈÉ ÊÐÀÉ,8.994968938731113e-05
rgn_ÓÄÌÓÐÒÑÊÀß ÐÅÑÏ,8.430608328269108e-05
rgn_ËÅÍÈÍÃÐÀÄÑÊÀß ÎÁË,8.38785978768233e-05
rgn_ÒÀÒÀÐÑÒÀÍ ÐÅÑÏ,8.386802740869625e-05
rgn_ÍÎÂÎÑÈÁÈÐÑÊÀß ÎÁË,8.280394912611445e-05
rgn_ÒÞÌÅÍÑÊÀß ÎÁË,7.915789304712299e-05
rgn_×ÓÊÎÒÑÊÈÉ ÀÎ,7.556764436257106e-05
rgn_×ÓÂÀØÑÊÀß ÐÅÑÏÓÁËÈÊÀ - ×ÓÂÀØÈß,6.799575371055277e-05
rgn_ÍÈÆÅÃÎÐÎÄÑÊÀß ÎÁË,6.570847338772972e-05
rgn_ÌÀÃÀÄÀÍÑÊÀß ÎÁË,6.158597247522294e-05
rgn_ÑÀÕÀËÈÍÑÊÀß ÎÁË,5.935923870535783e-05
rgn_ÒÛÂÀ ÐÅÑÏ,5.590540340894308e-05
rgn_ÒÎÌÑÊÀß ÎÁË,5.4786012657560554e-05
rgn_ÑÀÌÀÐÑÊÀß ÎÁË,5.424033495098402e-05
rgn_ËÈÏÅÖÊÀß ÎÁË,5.3443724783502024e-05
rgn_ÊÀÐÅËÈß ÐÅÑÏ,5.0395892487024905e-05
rgn_ÌÓÐÌÀÍÑÊÀß ÎÁË,4.726845290138696e-05
rgn_ÊÀËÈÍÈÍÃÐÀÄÑÊÀß ÎÁË,4.69560520448933e-05
rgn_ÊÈÐÎÂÑÊÀß ÎÁË,4.676479848848892e-05
rgn_ÎÐËÎÂÑÊÀß ÎÁË,4.59487746509105e-05
rgn_ÀÄÛÃÅß ÐÅÑÏ,4.16991689031367e-05
rgn_ßÐÎÑËÀÂÑÊÀß ÎÁË,4.14919942696499e-05
rgn_0,4.049051282565284e-05
rgn_ÎÌÑÊÀß ÎÁË,4.014865089089846e-05
rgn_ÊÅÌÅÐÎÂÑÊÀß ÎÁËÀÑÒÜ - ÊÓÇÁÀÑÑ ÎÁË,3.75062633850596e-05
rgn_Ã ÌÎÑÊÂÀ,3.5430613561583205e-05
rgn_ÇÀÁÀÉÊÀËÜÑÊÈÉ ÊÐÀÉ,3.4749908355450884e-05
rgn_ÓËÜßÍÎÂÑÊÀß ÎÁË,3.4249487265787605e-05
rgn_ÁÅËÃÎÐÎÄÑÊÀß ÎÁË,3.236741804031046e-05
rgn_ÑÀÕÀ /ßÊÓÒÈß/ ÐÅÑÏ,3.1377999202774775e-05
rgn_ÑÒÀÂÐÎÏÎËÜÑÊÈÉ ÊÐÀÉ,2.990058202964759e-05
rgn_ÒÓËÜÑÊÀß ÎÁË,2.9333719650434403e-05
rgn_ÕÀÁÀÐÎÂÑÊÈÉ ÊÐÀÉ,2.8210768662214434e-05
rgn_ÄÀÃÅÑÒÀÍ ÐÅÑÏ,2.6268574656010253e-05
rgn_ÊÎÑÒÐÎÌÑÊÀß ÎÁË,2.4037158248369866e-05
rgn_ÕÀÊÀÑÈß ÐÅÑÏ,2.2737205376535727e-05
rgn_ÂÎÐÎÍÅÆÑÊÀß ÎÁË,2.2203387837855877e-05
rgn_ÑÅÂÀÑÒÎÏÎËÜ Ã,2.084758234701268e-05
rgn_ÒÀÌÁÎÂÑÊÀß ÎÁË,1.973364303058993e-05
rgn_ÀËÒÀÉÑÊÈÉ ÊÐÀÉ,1.9636986748279524e-05
rgn_ÌÀÐÈÉ ÝË ÐÅÑÏ,1.928292543611137e-05
rgn_ÊÀÌ×ÀÒÑÊÈÉ ÊÐÀÉ,1.8177911190332157e-05
rgn_ÊÓÐÃÀÍÑÊÀß ÎÁË,1.7200292145725337e-05
rgn_ÒÂÅÐÑÊÀß ÎÁË,1.4703856916979713e-05
rgn_ÑÌÎËÅÍÑÊÀß ÎÁË,1.3827147880118895e-05
rgn_ÊÀËÓÆÑÊÀß ÎÁË,1.3036832270114234e-05
rgn_ÂËÀÄÈÌÈÐÑÊÀß ÎÁË,1.1947062196566236e-05
rgn_ÍÎÂÃÎÐÎÄÑÊÀß ÎÁË,1.1800266080125442e-05
rgn_ÅÂÐÅÉÑÊÀß ÀÎÁË,1.134246445697869e-05
rgn_ÐÅÑÏ ÁÀØÊÎÐÒÎÑÒÀÍ,1.0582848922341336e-05
rgn_ÈÂÀÍÎÂÑÊÀß ÎÁË,8.808526343616748e-06
rgn_ÀÌÓÐÑÊÀß ÎÁË,8.557212164108598e-06
rgn_ÏÑÊÎÂÑÊÀß ÎÁË,7.941262150494696e-06
rgn_ÁÐßÍÑÊÀß ÎÁË,7.634412498472005e-06
rgn_ÀÑÒÐÀÕÀÍÑÊÀß ÎÁË,7.4099092616638456e-06
rgn_ÊÐÛÌ ÐÅÑÏ,7.38897413049134e-06
rgn_ÌÎÐÄÎÂÈß ÐÅÑÏ,6.958755001887754e-06
rgn_ÈÍÃÓØÅÒÈß ÐÅÑÏ,6.5649410181230705e-06
rgn_ÐßÇÀÍÑÊÀß ÎÁË,6.486397590961145e-06
rgn_ÁÀÉÊÎÍÓÐ Ã,6.441282132057106e-06
rgn_ÏÅÍÇÅÍÑÊÀß ÎÁË,5.862225282970485e-06
rgn_ÊÀËÌÛÊÈß ÐÅÑÏ,4.401784340328722e-06
rgn_×ÓÂÀØÑÊÀß ÐÅÑÏÓÁËÈÊÀ ×ÓÂÀØÈß,3.7284060535890466e-06
rgn_ÊÀÁÀÐÄÈÍÎ-ÁÀËÊÀÐÑÊÀß ÐÅÑÏ,3.1772347123130024e-06
rgn_ÊÓÐÑÊÀß ÎÁË,2.63537326377038e-06
rgn_ÕÀÍÒÛ-ÌÀÍÑÈÉÑÊÈÉ ÀÎ,2.3847785551743e-06
rgn_ÀËÒÀÉ ÐÅÑÏ,4.05867148451139e-07
rgn_ÑÅÂÅÐÍÀß ÎÑÅÒÈß - ÀËÀÍÈß ÐÅÑÏ,5.8957026957619664e-09
rgn_ÕÀÍÒÛ-ÌÀÍÑÈÉÑÊÈÉ-ÞÃÐÀ ÀÎ,2.715134713780303e-09
rgn_ÊÀÐÀ×ÀÅÂÎ-×ÅÐÊÅÑÑÊÀß ÐÅÑÏ,0.0
rgn_ÁÅËÀÐÓÑÜ,0.0
rgn_ÑÅÐÃÈÅÂÑÊÈÉ,0.0
rgn_×ÓÂÀØÑÊÀß ÐÅÑÏ,0.0
rgn_×Å×ÅÍÑÊÀß ÐÅÑÏ,0.0
rgn_ÍÅÔÒÅÃÎÐÑÊÈÉ,0.0
rgn_ÊÀÇÀÕÑÒÀÍ,0.0
rgn_ÐÅÑÏ ÊÀÐÅËÈß,0.0
rgn_ÇÀÏÎÐÎÆÑÊÀß ÎÁË,0.0
rgn_ÊÅÌÅÐÎÂÑÊÀß ÎÁË,0.0
